question,answer,product,technologies
How can I apply for a 4th class power engineer certification?,"To apply for a Fourth-Class Power Engineer certification, you need to meet certain eligibility requirements and pass an evaluation and two certification exams.

The All eligibility requirements include proof of completing an approved Fourth-Class Power Engineering course or a one-year, full-time Fourth-Class Power Engineering course, a Mechanical Engineering degree accredited by the Canadian Engineering Accreditation Board, or a Third Class or higher Marine Engineer (motor) certificate of competency.

For the evaluation eligibility, you must complete one of the following: six months as a Power Engineer in a Fifth Class plant in a position requiring a Fifth Class Power Engineer's certificate, six months as a Power Engineer trainee in at least one of the following: a power plant that exceeds 10 sq. m of boiler capacity, a steam heating plant that exceeds 30 sq. m of boiler capacity, a fluid heating plant or low-pressure thermal fluid plant that exceeds 150 sq. m of boiler capacity, a low-temperature, low-pressure fluid plant that exceeds 300 sq. m of boiler capacity, eighteen months of experience, acceptable to a provincial safety manager, in the operation, design, construction, repair, or maintenance of equipment that falls under Power Engineer, Boiler, Pressure Vessel, and Refrigeration Safety Regulation, Third Class (or a higher class) Marine Engineer (motor) Certificate of Competency (issued by Transport Canada), or 200 hours of boiler plant power lab training at an educational or vocational facility approved by a provincial safety manager.

To apply for evaluation, you need to complete the plant operating experience form 1026 and submit it through your Online Services account. The form will be reviewed by a Provincial Safety Manager.

For the certification exams, you must pass the following two exams: 4A1 - Part A and 4B1 - Part B. Each exam is three hours long, and you must achieve a minimum grade of 65% on each exam to pass.",Certification,BPVR
How do I renew my Power engineer certificate?,"To renew your Power Engineer certificate, you can process your renewal through the online services of Technical Safety BC. If you already have a Power Engineer account, you can directly proceed with the renewal. If you don't have an account, you need to register for an Online Services account to access your latest certification information.

Your Power Engineer certificate is valid for three years after the date of issue. You can renew online with Technical Safety BC up to one year prior to your certificate�s expiry date. Renewing early does not reduce the time of your certificate being in an 'active' status.

If you hold multiple certificates with independent scopes, you must renew each certificate before its expiry date. For example, if you hold a Fifth Class Power Engineer certificate and a Refrigeration Operator certificate, you must renew both certificates because their scope of work is independent from one another. However, if you hold a Fourth Class Power Engineer certificate and a Refrigeration Operator certificate, only the Fourth Class Power Engineer certificate needs to be renewed, because the scope of the Refrigeration Operator certificate is covered by your Fourth Class Power Engineer certificate.

Please note that if you do not renew your certificate but continue to perform regulated work, you put yourself and others at risk. A safety officer may issue a compliance order, or recommend a monetary penalty. A safety officer may be authorized to stop your work in the field. You will also need to re-apply for your certificate if you want to be able to legally work as a power engineer again.",Certification,BPVR
"I would like to renew my FSR, what do I need to do?","To renew your Electrical FSR Certificate of Qualification, you can process your renewal through the online services of Technical Safety BC if you have an FSR account. If you don't have an account, you can register for an online services account to access your latest certificate information.

When you are within 1 year of your certificate�s expiration date, you can renew your certificate. If your certificate expires, you can still renew it.

In order to renew, you need to have the following information ready:
- Your FSR certificate number
- Your current mailing address
- Your email address
- You should also make sure that you have completed your continuing education requirements from an approved training provider.

To renew your certificate, log in to your Online Services account and click Certifications on the left side. Then click Proceed to Online Services for Certification and you�ll be directed to your My Certificates page. Once you�re there, click the Action dropdown on the certificate you want to renew and select Renew Certificate. Complete and submit your renewal.

Please note that the Electrical Safety Regulation requires you to satisfy continuing education requirements before renewing your FSR certificate of qualification. There are different continuing education requirements depending on your certificate class.",Certification,Electrical
How can I get a new welder logbook?,"To obtain a new welder's logbook, you will need to contact SkilledTradesBC. The logbook is a requirement for various certifications and must be kept up to date in accordance with the requirements of ASME Section IX for the applicable welding process.

Please note that if you fail to obtain your welder�s logbook from SkilledTradesBC, or if you fail to keep it current, you may not qualify for ongoing renewal of your certificate.",Certification,BPVR
How do I apply for a Gas license?,"To apply for a Gas license, you can follow these steps:

1. Complete the Gas Contractor Licence Application form 514.
2. Provide an original signed hardcopy surety bond with your application if you're applying via hardcopy. If you're applying electronically, provide a copy of your signed electronic surety bond with your application. This document may be submitted in any legible format such as a photo of the document, a PDF, or a scanned copy.
3. If you're applying via hardcopy, mail in the application form and bond to the Technical Safety BC Vancouver office. If you're applying electronically, submit the completed application as a PDF via the contact form.
Please note that to be considered valid, original hardcopy bonds and electronic bonds must contain all of the following: Bond number, Bond Amount ($10,000), Full legal business name, Obligee (British Columbia Safety Authority), Principal�s signature, Insurer�s signature, Seal, and Date.

Licenses must be renewed annually. You can check with your insurer that your surety bond is still active, then renew through your online account.",License,Gas
How do I apply for a Electric license?,"To apply for an electrical license in BC, you have two options:

1. Hardcopy Original Surety Bond: You need to complete the Electrical Contractor Licence Application Form 1028 and provide an original signed hardcopy surety bond with your application. Then, mail in the application form and bond to the Technical Safety BC Vancouver office.
2. Electronic Bond (E-bond): You need to complete the Electrical Contractor Licence Application Form 1028 and provide a copy of your signed electronic surety bond with your application. This document may be submitted in any legible format such as a photo of the document, a PDF, or a scanned copy. Then, submit the application form and copy of bond via the Technical Safety BC contact form.

To be considered valid, original hardcopy bonds and electronic bonds must contain all of the following: Bond number, Bond Amount ($10,000), Full legal business name, Obligee (British Columbia Safety Authority), Principal�s signature, Insurer�s signature, Seal, and Date.

Please note that as of February 26, 2024, you are no longer required to have your insurance company send TSBC a copy of your electronic bond nor a matching assurance statement. Instead, TSBC is now accepting copies of bond documents submitted directly by clients as part of the simplified license application process.",License,Electrical
How can I get an Elevating License?,"To obtain an Elevating Devices License, you need to follow these steps:

1. Complete the Elevating Device Licence Application form 317.
2. Submit the completed form by mail to the Technical Safety BC Vancouver office.
3. You must have a BC Business Registration number.
4. Pay the appropriate application fee.
5. After reviewing your application, TSBC will assess whether you�re qualified to receive your license. If you qualify, you�ll be invited for an interview with an Elevating Device safety officer and a written exam.

Please note that all contractors who perform regulated work on Elevating Devices must be licensed by TSBC. Your license class determines what type of regulated work you can perform. A licensed contractor is responsible for ensuring compliance with the Safety Standards Act, all relevant regulations, and all applicable safety orders and directives.",License,Elevating Devices
How can I get an Amusement License?,"To obtain an Amusement Devices licence, you need to follow these steps:

1. Complete the Application for Amusement Rides Contractor's Licence Form 1145. Make sure to include details of your relevant experience. This could be previous experience, knowledge of mechanical or electrical trades, or recognized amusement device training such as NAARSO Certification or AIMS International courses.
2. Include a copy of your BC Business Licence or BC Certificate of Incorporation.
3. Submit your application by email. You can find the email address here.
4. Pay the appropriate fee. 

Please note that the application will not be processed until payment of the application fee has been received. For information about the fees, you can refer to the Fee Schedules.

In some cases, the provincial safety manager may ask for an interview to discuss your knowledge of the adopted code for amusement devices, CAN/CSA Z267-00. You are also expected to be familiar with the Act and Regulations, which you can find here.

Please note that licenses must be renewed annually. You can renew through your Online Services account, which you can access here.",License,Amusement Devices
How can I get a passenger ropeway license?,"To obtain a passenger ropeway license in BC, you need to follow these steps:
1. Complete the Passenger Ropeway Licence Application Form 1372.
2. Choose the class of license you need. The options are:
- Class PRA: Restricted to designing, constructing, installing, altering, repairing, maintaining or testing of any classification of passenger ropeway.
- Class PRB: Restricted to operating, installing, altering, repairing, maintaining or testing of any classification of passenger ropeway.
- Class PRC: Restricted to operating, repairing, maintaining or testing of fixed-grip above surface passenger ropeways, and all classifications of surface passenger ropeways.
- Class PRD: Restricted to operating, repairing, maintaining or testing all types of surface passenger ropeways.
3. Include relevant experience details, including previous passenger ropeway maintenance experience, for the people responsible for maintaining the passenger ropeways. Identify previous passenger ropeway maintenance experience.
4. Provide any applicable trade certifications such as millwright or electrical trades and show evidence of recognized training for passenger ropeway mechanics such as the Lift 151-153 courses offered by Selkirk College.
5. Have a BC Business Registration number.
6. Submit your application to the Passenger Ropeways team, and mail a cheque payable to Technical Safety BC for the application fee, or call 1 866 566 7233 to pay with a credit card.

In some cases, Technical Safety BC's provincial safety manager will ask for an interview to discuss your knowledge of the adopted Canadian code for passenger ropeways and passenger conveyors, CAN/CSA Z98-14. You are also expected to be familiar with the Act and Regulations.

Licenses must be renewed annually. You can renew through your Online Services account.",License,Passenger Ropeways
I need to get my food truck certified; how do I do that?,"To get your food truck certified, you need to follow a specific process. This process includes a licensed contractor taking out a Commercial Installation permit for the installation of the gas fuel system and appliances. The contractor then requests inspections at each stage of construction of the unit. Once the construction is complete, a safety officer performs an assessment of the installation. If the installation passes the assessment, the safety officer will place a decal on the vehicle. This decal is valid for the life of the food truck or trailer as long as there are no changes to the gas system or appliances. If any changes are made, the decal is then void and a new permit process would be required to have a new decal applied to the unit",Permit,Gas
