Index,Question,Answer,Answer Update Time,Source,Source Update Time,Technology,Service,Category,Class Of Work,Form,Form ID
1,Do I require a silver label?,"Used manufactured homes (whether de-registered with the BC Manufactured Home Registry or not) may only be offered for sale in BC when they bear an approval label.
A new approval label is required where wiring of a used manufactured home has been completely removed and new wiring has been installed under a permit.
Alterations, including additional wiring to an approved unit must be done under a permit and a new approval label is not required.
When a manufactured home has had additions or outbuildings installed and wired without an electrical installation permit, an electrical contractor must obtain an installation permit, survey the work and submit a declaration confirming that the electrical installation is adequate for the purpose and in good order, in accordance with rule 2-300.
Alternate documentation, such as a letter from the manufacturer indicating that the unit was originally approved, cannot be accepted in place of an approval label. However, if original documentation exists (for example, a specification sheet with CSA number) and there have been no unpermitted alterations to the unit, a silver label may be applied by a safety officer upon notification of an inspection request under a silver label permit and confirmation that the installation is in good order in accordance with rule 2-300. A Used Mobile Home Inspection Report is not required under these circumstances.",5/10/2024,https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/information-bulletin-approval-manufactured-homes-and-factory-built-structures,3/31/2015,Electrical,Regulatory Resources,Regulatory Notices,,,
2,How to get silver safety approval?,"For Technical Safety BC silver label approval, where no evidence of current or previous approval is provided, a licensed electrical contractor must:
1.	Obtain a silver label permit.
2.	Survey the electrical installation and bring it into compliance using the Used Mobile Home Inspection Report Form, no. 1143.
3.	When filling out the form, indicate survey results and identify all work performed to achieve compliance.
4.	Submit FRM-0206 Electrical Contractor Authorization and Declaration Form confirming that the installation is adequate for the purpose and in good order, in accordance with rule 2-300.
5.	Technical Safety BC will apply the silver label to the electrical panel cover once the installation is accepted.
The source is: https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/information-bulletin-approval-manufactured-homes-and-factory-built-structures",5/11/2024,https://www.technicalsafetybc.ca/regulatory-resources/regulatory-notices/information-bulletin-approval-manufactured-homes-and-factory-built-structures,3/31/2015,Electrical,Regulatory Resources,Regulatory Notices,,"Used Mobile Home Inspection Report Form; Electrical Contractor Authorization and Declaration Form","1143; 206"
6,How can I apply for a 4th class power engineer certification?,"To apply for your Fourth Class Power Engineer certificate, you must have one of the 	following:
 	Proof of completing an approved Fourth Class Power Engineering course
1.	Proof of completing a one-year, full-time Fourth Class Power Engineering course (no qualifying time required)
2.	A Mechanical Engineering degree accredited by the Canadian Engineering Accreditation Board
3.	Third Class or higher Marine Engineer (motor) certificate of competency
Visit our list of approved courses and training providers
https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/power-	engineer-certification/fourth-class
To apply for evaluation, you must complete one of the following:
1.	Six months as a Power Engineer in a Fifth Class plant in a position requiring a Fifth Class Power Engineer's certificate
2.	Six months as a Power Engineer trainee in at least one of the following:
a.	A power plant that exceeds 10 sq. m of boiler capacity
b.	A steam heating plant that exceeds 30 sq. m of boiler capacity
c.	A fluid heating plant or low-pressure thermal fluid plant that exceeds 150 sq. m of boiler capacity
d.	A low-temperature, low-pressure fluid plant that exceeds 300 sq. m of boiler capacity
3.	Eighteen months of experience, acceptable to a provincial safety manager, in the operation, design, construction, repair, or maintenance of equipment that falls under Power Engineer, Boiler, Pressure Vessel, and Refrigeration Safety Regulation
4.	Third Class (or a higher class) Marine Engineer (motor) Certificate of Competency (issued by Transport Canada)
5.	200 hours of boiler plant power lab training at an educational or vocational facility approved by a provincial safety manager",5/12/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/power-engineer-certification/fourth-class,,Boiler Pressure Vessels,Certification,Application,Fourth Class Power Engineer,,
7,How do I renew my Power engineer certiicate?,"Your Power Engineer certificate is valid for three years after the date of issue. You can renew online with Technical Safety BC up to one year prior to your certificate's expiry date. Renewing early does not reduce the time of your certificate being in an active status.

Note that you do not need to be employed as a power engineer to renew your certificate.",5/13/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/power-engineer-certification/renewal,,Boiler Pressure Vessels,Certification,Renewal,Power Engineer,,
8,"I would like to renew my FSR, what do I need to do?","If you don't have an Online Services account, have the following information ready:
1.	Your FSR certificate number
2.	Your current mailing address
3.	Your email address
You should also make sure that you have completed your continuing education 		requirements from an approved training provider.",5/14/2024,"https://www.technicalsafetybc.ca/technologies/electrical/electrical-fsr-		certification/renewal",,Electrical,Certification,Renewal,Electrical FSR,,
9,How can I get a new welder logbook?,Skilled Trades BC.,5/15/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/pressure-welder-certification/class-a,,Boiler Pressure Vessels,Certification,General,Pressure Welder Class A,,
11,How do I apply for a Electric license?,"Complete the Electrical Contractor Licence Application Form 1028.
Provide a copy of your signed electronic surety bond with your application. This document may be submitted in any legible format such as a photo of the document, a PDF, or a scanned copy.
Submit the application form and copy of bond via our contact form.
 
To be considered valid, original hardcopy bonds and electronic bonds must contain all of the following:

Bond number.
Bond Amount: $10,000.
Full legal business name. The name on the bond documents must be the same as the company name provided on the application and both must match exactly with the full legal business name registered in BC.
Obligee: British Columbia Safety Authority. The name of the Obligee listed on the bond should be British Columbia Safety Authority as this remains our legal name.
Principal's signature.
Insurer's signature.
Seal.
Date.
Note: As of February 26, 2024 you are no longer required to have your insurance company send us a copy of your electronic bond nor a matching assurance statement. Instead, we are now accepting copies of bond documents submitted directly by clients as part of the simplified licence application process. Copies of bond documents can be submitted in any legible format, including: PDFs, images/photos of the bond, or scans/photocopies of the document.

*We will accept electronic bonds from an insurer who has Power of Attorney for an insurance company. This must be demonstrated by a Power of Attorney letter supplied by the insurance broker or insurer at the time of submitting the electronic bond.",5/16/2024,https://www.technicalsafetybc.ca/technologies/electrical/electrical-licences,,Electrical,License,Application,,Electrical Contractor Licence Application Form,1028
16,Why do I need an Electrical Operating Permit?,"An operating permit ensures that a qualified individual is responsible for your technical equipment on your premises. This includes the safe operation, maintenance and inspection of equipment, as well as ensuring that the appropriate records are maintained and available on request by our safety officers.
Under the supervision of a Field Safety Representative (FSR), owners can conduct regular maintenance work without having to take out multiple electrical installation permits.",5/17/2024,https://www.technicalsafetybc.ca/technologies/electrical/operating-permits,,Electrical,Permit,General,,,
18,Who needs a Boiler Operating Permit?,"Owners, operators, or managers of facilities containing regulated boiler and pressure vessel equipment require an operating permit. This includes:
Who Needs a Permit?
1.	commercial properties;
2.	industrial plants;
3.	mills;
4.	manufacturing plants;
5.	multi-unit office buildings;
6.	multi-unit residential buildings (condominiums, townhouses);
7.	schools;
8.	hospitals; and
9.	municipal facilities. ",5/18/2024,https://www.technicalsafetybc.ca/technologies/boilers-pressure-vessels/operating-permits,,Boiler Pressure Vessels,Permit,Operation Permit,,,
28,How much does an electrical permit cost?,Please refer to the fee schedules for fee details as they are based on the type of permit that is pulled.,5/19/2024,https://www.technicalsafetybc.ca/learn-about/technical-safety-bc/fee-schedules,,Electrical,Permit,Fee,,,
